Model,OOB_Score,TP,TN,FP,FN,AUC_ROC,AUC_ROC_SE,AUC_PR,AUC_PR_SE,ACCURACY,ACCURACY_SE,SENSITIVITY,SENSITIVITY_SE,SPECIFICITY,SPECIFICITY_SE,PRECISION,PRECISION_SE,F1,F1_SE
RF_Default,0.8203125,0,31,3,9,0.6030796648485633,0.0973969492020866,0.31970968636124486,0.10594802187159669,0.7244883720930232,0.06943950446944938,0.0,0.0,0.9132090483562326,0.04772829718275557,0.0,0.0,0.0,0.0
RF_500trees,0.8046875,0,30,4,9,0.6412297554453598,0.09421004873622764,0.3206129843863378,0.10235725837903203,0.7004418604651161,0.07078650707273725,0.0,0.0,0.8829351820417598,0.05468300932882091,0.0,0.0,0.0,0.0
RF_Tuned,0.7734375,2,29,5,7,0.5988791858570178,0.10408471691130701,0.3831062721082791,0.13373933720267311,0.7219302325581394,0.07035085909068338,0.22075921537612714,0.14526624202905916,0.8525623584726993,0.05924351987856502,0.2783891580641581,0.1762195403435152,0.23583167867394814,0.14327987934334668
GradientBoosting_Default,,3,26,8,6,0.5743358260791354,0.11603681364478013,0.3734340497702892,0.13571246439994325,0.6751162790697675,0.07400722049757101,0.33155195180636354,0.16375009862330084,0.7643234599982759,0.07390784428420002,0.2687535577726367,0.13663366600033106,0.2868360605801622,0.13436057941790439
GradientBoosting_Tuned,,3,31,3,6,0.5638697574983703,0.1235408411870527,0.4228492446087002,0.14543299662827613,0.7912790697674417,0.06302443575656785,0.33155195180636354,0.16375009862330084,0.9110219758975845,0.047886138892837285,0.49194206626706627,0.2251742827914591,0.38041691282743834,0.16748651071185783
XGBoost_Default,,0,31,3,9,0.5888453900270278,0.09507016084286961,0.27940039903875324,0.08764173508675215,0.7242093023255813,0.06920360926197218,0.0,0.0,0.9128455612571466,0.04750441911034944,0.0,0.0,0.0,0.0
XGBoost_Tuned,,0,32,2,9,0.54426515487528,0.09209062804834678,0.2623904137264782,0.08668815040588271,0.7473953488372093,0.06647647469141692,0.0,0.0,0.942182704621857,0.03924542303906368,0.0,0.0,0.0,0.0
SVM_RBF,,1,28,6,8,0.49209245679958336,0.11796327845714129,0.2589911611623165,0.09114434947904801,0.6754186046511627,0.0730512129862804,0.11079273643023643,0.11106406974157244,0.8222114927104517,0.06562410020027042,0.14265791985791987,0.14540637113969773,0.1183942399810895,0.1135111751968017
SVM_Linear,,0,30,4,9,0.5174227647116033,0.10442256747252032,0.252102477686994,0.08279457396943815,0.7015813953488371,0.0704454497077858,0.0,0.0,0.8843769437412226,0.053857409392347774,0.0,0.0,0.0,0.0
NeuralNet_Simple,,0,26,8,9,0.388381704392595,0.109454847984387,0.2093890021730375,0.07073461496751157,0.6047209302325582,0.07551872535957622,0.0,0.0,0.762169522561373,0.07213908938321179,0.0,0.0,0.0,0.0
NeuralNet_Tuned,,3,23,11,6,0.5373357212135625,0.1159583470281039,0.30017623855778885,0.1130435517002651,0.6079534883720931,0.07633377221756228,0.33843272487316606,0.16707302158660278,0.6780511735009739,0.08199164033749123,0.21512739472202017,0.1134931091891107,0.25445805540024447,0.12132624090157752
LogisticRegression_L2,,0,27,7,9,0.4271743490840129,0.09285110370438837,0.2116299627925918,0.06586554714762492,0.6291860465116279,0.07349711090225866,0.0,0.0,0.7932486648349631,0.06922782948971175,0.0,0.0,0.0,0.0
LogisticRegression_Tuned,,0,34,0,9,0.453666011100392,0.11523355221715798,0.2401837236908827,0.08344420128973185,0.7932325581395346,0.06226793151176552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
